seconds 	point x 	point y 	point z 	position x	position y	position z	pupil diameter	flag    	

0.06    	0.00    	0.00    	0.00    	-3.02   	2.18    	0.59    	3.54    	-       	
0.24    	-5.27   	0.28    	21.27   	-3.02   	2.18    	0.59    	3.55    	-       	
0.29    	-5.17   	0.28    	20.94   	-3.02   	2.18    	0.59    	3.55    	-       	
0.34    	-5.57   	0.28    	29.42   	-3.02   	2.18    	0.59    	3.56    	-       	
0.37    	0.00    	0.00    	0.00    	-3.02   	2.18    	0.60    	3.55    	-       	
0.42    	-5.40   	0.27    	26.02   	-3.02   	2.18    	0.62    	3.54    	-       	
0.46    	-5.37   	0.27    	27.27   	-3.02   	2.18    	0.64    	3.55    	-       	
0.53    	-5.36   	0.27    	26.66   	-3.02   	2.18    	0.67    	3.53    	-       	
0.57    	-5.20   	0.28    	23.45   	-3.02   	2.18    	0.72    	3.54    	-       	
0.62    	-5.21   	0.28    	24.19   	-3.02   	2.18    	0.78    	3.55    	-       	
0.67    	-5.22   	0.28    	24.87   	-3.02   	2.18    	0.84    	3.57    	-       	
0.72    	-8.05   	0.27    	89.86   	-3.02   	2.18    	0.91    	3.62    	-       	
0.76    	-5.59   	0.28    	27.91   	-3.02   	2.18    	1.01    	3.62    	-       	
0.82    	-5.56   	0.27    	26.10   	-3.02   	2.18    	1.09    	3.62    	-       	
0.87    	-5.51   	0.27    	26.89   	-3.02   	2.18    	1.21    	3.62    	-       	
0.92    	-5.45   	0.28    	25.41   	-3.02   	2.18    	1.31    	3.63    	-       	
0.97    	-5.31   	0.28    	23.34   	-3.02   	2.18    	1.45    	3.63    	-       	
1.02    	-5.20   	0.28    	21.75   	-3.02   	2.18    	1.58    	3.58    	-       	
1.07    	-5.28   	0.28    	23.46   	-3.02   	2.18    	1.74    	3.59    	-       	
1.12    	-5.26   	0.28    	24.71   	-3.02   	2.18    	1.88    	3.58    	-       	
1.17    	-5.26   	0.28    	24.75   	-3.02   	2.18    	2.06    	3.57    	-       	
1.22    	-5.26   	0.28    	23.59   	-3.02   	2.18    	2.22    	3.55    	-       	
1.27    	-5.31   	0.28    	24.71   	-3.02   	2.18    	2.42    	3.52    	-       	
1.30    	0.00    	0.00    	0.00    	-3.02   	2.18    	2.58    	3.60    	-       	
1.32    	-14.01  	6.08    	50.26   	-3.02   	2.18    	2.82    	4.04    	-       	
1.35    	-13.90  	5.83    	50.29   	-3.02   	2.18    	2.92    	3.96    	gaze started: billboard_image_1	
1.38    	-14.56  	4.99    	50.12   	-3.02   	2.18    	3.03    	3.98    	-       	
1.40    	-14.43  	5.20    	50.15   	-3.02   	2.18    	3.15    	3.92    	-       	
1.43    	-14.41  	6.22    	50.16   	-3.02   	2.18    	3.26    	3.52    	-       	
1.46    	-14.69  	6.47    	50.08   	-3.02   	2.18    	3.38    	3.92    	-       	
1.48    	-14.61  	6.82    	50.10   	-3.02   	2.18    	3.51    	3.93    	-       	
1.51    	-14.58  	6.87    	50.11   	-3.02   	2.18    	3.63    	3.60    	-       	
1.53    	-14.78  	6.42    	50.06   	-3.02   	2.18    	3.75    	3.72    	-       	
1.56    	-14.78  	6.53    	50.06   	-3.02   	2.18    	3.89    	3.73    	-       	
1.58    	-14.75  	6.58    	50.07   	-3.02   	2.18    	4.02    	3.92    	-       	
1.61    	-14.65  	6.22    	50.09   	-3.02   	2.18    	4.15    	3.91    	gaze fixated: billboard_image_1	
1.64    	-14.63  	6.12    	50.10   	-3.02   	2.18    	4.29    	3.69    	-       	
1.66    	-14.57  	6.17    	50.12   	-3.02   	2.18    	4.43    	3.90    	-       	
1.69    	-14.55  	6.20    	50.12   	-3.02   	2.18    	4.57    	3.89    	-       	
1.71    	0.00    	0.00    	0.00    	-3.02   	2.18    	4.71    	3.56    	-       	
1.76    	-5.13   	0.28    	20.23   	-3.02   	2.18    	4.85    	3.59    	gaze ended: billboard_image_1	
1.83    	-12.82  	0.26    	141.73  	-3.02   	2.18    	5.01    	3.55    	-       	
1.88    	-5.23   	0.28    	22.17   	-3.02   	2.18    	5.37    	3.59    	-       	
1.93    	-5.20   	0.28    	21.15   	-3.02   	2.18    	5.73    	3.61    	-       	
1.97    	-5.22   	0.28    	24.36   	-3.02   	2.18    	6.08    	3.60    	-       	
2.02    	-5.11   	0.28    	23.16   	-3.02   	2.18    	6.36    	3.57    	-       	
2.07    	-5.24   	0.28    	25.24   	-3.02   	2.18    	6.67    	3.58    	-       	
2.12    	-5.28   	0.28    	30.03   	-3.02   	2.18    	7.00    	3.61    	-       	
2.17    	-5.09   	0.27    	26.77   	-3.02   	2.18    	7.38    	3.61    	-       	
2.20    	0.00    	0.00    	0.00    	-3.02   	2.18    	7.71    	3.76    	-       	
2.23    	0.00    	0.00    	0.00    	-3.01   	2.18    	8.12    	3.76    	-       	
2.27    	-4.41   	0.28    	24.04   	-3.01   	2.18    	8.31    	3.46    	-       	
