seconds 	point x 	point y 	point z 	position x	position y	position z	pupil diameter	flag    	

0.03    	-14.99  	5.44    	50.00   	-3.24   	2.08    	0.83    	3.23    	gaze started: billboard_image_1	
0.19    	-14.73  	5.39    	50.07   	-3.24   	2.08    	0.83    	3.20    	-       	
0.21    	-14.75  	5.47    	50.07   	-3.24   	2.08    	0.83    	3.21    	-       	
0.24    	-14.73  	5.49    	50.07   	-3.24   	2.08    	0.83    	3.20    	-       	
0.27    	-16.21  	6.04    	49.68   	-3.24   	2.08    	0.83    	3.20    	-       	
0.29    	-17.40  	5.73    	49.36   	-3.24   	2.08    	0.83    	3.24    	gaze fixated: billboard_image_1	
0.32    	-17.49  	5.69    	49.33   	-3.24   	2.08    	0.83    	3.23    	-       	
0.34    	-17.37  	5.72    	49.37   	-3.24   	2.08    	0.83    	3.25    	-       	
0.37    	-17.37  	5.70    	49.36   	-3.24   	2.08    	0.83    	3.25    	-       	
0.39    	-17.34  	5.70    	49.37   	-3.24   	2.08    	0.83    	3.25    	-       	
0.42    	-17.33  	5.69    	49.38   	-3.24   	2.08    	0.83    	3.25    	-       	
0.45    	-17.19  	5.69    	49.41   	-3.24   	2.08    	0.83    	3.24    	-       	
0.47    	-17.15  	5.69    	49.43   	-3.24   	2.08    	0.83    	3.26    	-       	
0.50    	-17.12  	5.74    	49.43   	-3.24   	2.08    	0.83    	3.28    	-       	
0.52    	-17.12  	5.78    	49.43   	-3.23   	2.08    	0.83    	3.29    	-       	
0.55    	-17.12  	5.73    	49.43   	-3.23   	2.08    	0.83    	3.30    	-       	
0.58    	-17.34  	6.16    	49.37   	-3.23   	2.08    	0.83    	3.39    	-       	
0.64    	-48.05  	0.24    	290.81  	-3.23   	2.08    	0.83    	3.43    	-       	
0.70    	-5.22   	0.27    	26.42   	-3.23   	2.08    	0.83    	3.42    	gaze ended: billboard_image_1	
0.75    	-5.43   	0.28    	28.23   	-3.23   	2.08    	0.83    	3.41    	-       	
0.80    	-5.51   	0.28    	28.01   	-3.23   	2.08    	0.83    	3.46    	-       	
0.84    	-4.37   	0.28    	19.34   	-3.23   	2.08    	0.83    	3.45    	-       	
0.89    	-4.58   	0.28    	20.93   	-3.23   	2.08    	0.83    	3.46    	-       	
0.94    	-4.56   	0.28    	19.55   	-3.24   	2.08    	0.83    	3.46    	-       	
0.99    	-4.63   	0.28    	19.74   	-3.24   	2.08    	0.83    	3.43    	-       	
1.03    	-4.64   	0.28    	19.74   	-3.24   	2.08    	0.83    	3.37    	-       	
1.08    	-4.52   	0.28    	44.83   	-3.24   	2.08    	0.83    	3.42    	-       	
1.16    	-3.78   	0.28    	198.98  	-3.24   	2.08    	0.83    	3.34    	-       	
1.22    	-2.52   	0.28    	220.66  	-3.24   	2.08    	0.83    	3.26    	-       	
1.30    	-2.93   	0.28    	237.17  	-3.24   	2.08    	0.83    	3.24    	-       	
1.36    	-2.13   	0.28    	217.29  	-3.24   	2.08    	0.83    	3.23    	-       	
1.41    	-2.74   	0.27    	142.33  	-3.24   	2.08    	0.83    	3.17    	-       	
1.48    	-1.46   	0.28    	206.77  	-3.24   	2.08    	0.83    	3.17    	-       	
1.56    	-1.08   	0.28    	190.75  	-3.24   	2.08    	0.83    	3.18    	-       	
1.61    	-1.67   	0.27    	141.36  	-3.24   	2.08    	0.83    	3.19    	-       	
1.68    	-1.61   	0.27    	155.58  	-3.24   	2.08    	0.83    	3.23    	-       	
1.73    	-3.83   	0.27    	139.51  	-3.24   	2.08    	0.83    	3.38    	-       	
1.77    	-1.61   	0.27    	-0.89   	-3.24   	2.08    	0.83    	0.00    	-       	
1.82    	-1.61   	0.27    	-0.89   	-3.24   	2.08    	0.83    	0.00    	-       	
1.86    	-1.61   	0.27    	-0.89   	-3.24   	2.08    	0.83    	0.00    	-       	
1.91    	-1.60   	0.27    	-0.89   	-3.24   	2.08    	0.83    	0.00    	-       	
1.97    	12.45   	0.18    	141.82  	-3.24   	2.08    	0.83    	3.36    	-       	
2.03    	16.66   	0.16    	172.72  	-3.24   	2.08    	0.83    	3.38    	-       	
2.10    	12.81   	0.19    	152.60  	-3.24   	2.08    	0.83    	3.41    	-       	
2.15    	1.09    	0.27    	117.11  	-3.24   	2.08    	0.83    	3.37    	-       	
2.21    	1.44    	0.27    	138.29  	-3.24   	2.08    	0.83    	3.38    	-       	
2.25    	0.64    	0.27    	138.23  	-3.23   	2.08    	0.83    	3.40    	-       	
2.31    	2.16    	0.27    	167.02  	-3.23   	2.08    	0.83    	3.42    	-       	
2.38    	1.81    	0.27    	158.77  	-3.23   	2.08    	0.83    	3.41    	-       	
2.44    	-2.47   	0.27    	93.38   	-3.23   	2.08    	0.83    	3.42    	-       	
2.49    	-2.10   	0.27    	127.69  	-3.23   	2.08    	0.83    	3.40    	-       	
2.54    	-2.36   	0.27    	104.93  	-3.23   	2.08    	0.83    	3.39    	-       	
2.59    	-2.66   	0.27    	87.71   	-3.23   	2.08    	0.83    	3.38    	-       	
2.64    	-2.55   	0.27    	81.17   	-3.23   	2.08    	0.83    	3.50    	-       	
2.69    	-4.44   	0.28    	19.37   	-3.23   	2.08    	0.83    	3.40    	-       	
2.74    	-4.45   	0.28    	18.72   	-3.23   	2.08    	0.83    	3.42    	-       	
2.79    	-4.44   	0.28    	18.57   	-3.24   	2.08    	0.83    	3.40    	-       	
2.85    	-4.42   	0.28    	18.31   	-3.24   	2.08    	0.83    	3.38    	-       	
2.90    	-4.42   	0.28    	18.32   	-3.24   	2.08    	0.83    	3.39    	-       	
2.95    	-4.44   	0.28    	18.07   	-3.24   	2.08    	0.83    	3.38    	-       	
3.00    	-4.45   	0.28    	18.11   	-3.24   	2.08    	0.83    	3.37    	-       	
3.06    	-4.38   	0.28    	17.78   	-3.23   	2.08    	0.83    	3.36    	-       	
3.11    	-4.49   	0.28    	17.64   	-3.23   	2.08    	0.83    	3.33    	-       	
